MBFC Source Link,MBFC link,Source,Bias,Reporting,MBFS Source Link Base
https://www.conservativereview.com/,https://mediabiasfactcheck.com/conservative-review/,Conservative Review,Right,Mixed,conservativereview.com
http://front.moveon.org/,https://mediabiasfactcheck.com/move-on/,Move On,Left,Mixed,front.moveon.org
https://www.whitehouse.gov/1600daily,https://mediabiasfactcheck.com/1600-daily/,1600 Daily,Right,Mixed,whitehouse.gov
http://www.drudgereport.com/,https://mediabiasfactcheck.com/drudge-report/,Drudge Report,Right,Mixed,drudgereport.com
http://www.zerohedge.com/,https://mediabiasfactcheck.com/zero-hedge/,Zero Hedge,Conspiracy,Mixed,zerohedge.com
http://www.memeorandum.com/,https://mediabiasfactcheck.com/memeorandum/,Memeorandum,Least,Mixed,memeorandum.com
http://www.americanthinker.com/,https://mediabiasfactcheck.com/american-thinker/,American Thinker,Right,Mixed,americanthinker.com
https://www.thereligionofpeace.com/,https://mediabiasfactcheck.com/the-religion-of-peace/,The Religion of Peace,Fake,Fake,thereligionofpeace.com
http://www.frontpagemag.com/,https://mediabiasfactcheck.com/frontpage-magazine/,Frontpage Magazine,Fake,Fake,frontpagemag.com
https://www.jihadwatch.org/,https://mediabiasfactcheck.com/jihad-watch/,Jihad Watch,Fake,Fake,jihadwatch.org
http://www.heritage.org/,https://mediabiasfactcheck.com/heritage-foundation/,Heritage Foundation,Right,Mixed,heritage.org
https://www.thewrap.com,https://mediabiasfactcheck.com/thewrap/,TheWrap,Least,Mixed,thewrap.com
http://www.globalresearch.ca/,https://mediabiasfactcheck.com/global-research/,Global Research,Conspiracy,Mixed,globalresearch.ca
http://www.newsnow.co.uk/h/,https://mediabiasfactcheck.com/newsnow-uk/,NewsNow (UK),Least,Mixed,newsnow.co.uk
http://www.weaselzippers.us/,https://mediabiasfactcheck.com/weasel-zippers/,Weasel Zippers,Right,Mixed,weaselzippers.us
http://www.towleroad.com/,https://mediabiasfactcheck.com/towleroad/,Towleroad,Left,Mixed,towleroad.com
http://www.acting-man.com/,https://mediabiasfactcheck.com/acting-man/,Acting Man,Right,Mixed,acting-man.com
http://www.euractiv.com/,https://mediabiasfactcheck.com/euractiv/,Euractiv,Left-Center,Mixed,euractiv.com
http://www.alt-market.com/,https://mediabiasfactcheck.com/alt-market/,Alt-Market,Conspiracy,Mixed,alt-market.com
http://www.patheos.com/,https://mediabiasfactcheck.com/patheos/,Patheos,Least,Mixed,patheos.com
http://www.beliefnet.com,https://mediabiasfactcheck.com/beliefnet/,Beliefnet,Right,Mixed,beliefnet.com
http://www.prisonplanet.com/,https://mediabiasfactcheck.com/prison-planet/,Prison Planet,Conspiracy,Low,prisonplanet.com
http://www.democraticunderground.com/,https://mediabiasfactcheck.com/democratic-underground/,Democratic Underground,Left,Mixed,democraticunderground.com
https://www.memri.org/,https://mediabiasfactcheck.com/middle-east-media-research-institute-memri/,Middle East Media Research Institute (MEMRI),Fake,Fake,memri.org
https://www.aei.org/,https://mediabiasfactcheck.com/american-enterprise-institute/,American Enterprise Institute,Right,Mixed,aei.org
https://www.debka.com,https://mediabiasfactcheck.com/debkafile/,DEBKAfile,Fake,Fake,debka.com
https://www.indymedia.org/or/index.shtml,https://mediabiasfactcheck.com/independent-media-center/,Independent Media Center,Left-Center,Mixed,indymedia.org
http://www.whatreallyhappened.com/,https://mediabiasfactcheck.com/what-really-happened/,What Really Happened,Conspiracy,Low,whatreallyhappened.com
http://www.climatedepot.com/,https://mediabiasfactcheck.com/climate-depot/,Climate Depot,Conspiracy,Mixed,climatedepot.com
http://www.thenewcivilrightsmovement.com/,https://mediabiasfactcheck.com/the-new-civil-rights-movement/,The New Civil Rights Movement,Left,Mixed,thenewcivilrightsmovement.com
http://www.freedomworks.org/,https://mediabiasfactcheck.com/freedom-works/,Freedom Works,Right,Mixed,freedomworks.org
http://www.newshounds.us/,https://mediabiasfactcheck.com/newshounds/,NewsHounds,Left,Mixed,newshounds.us
http://www.adelaidenow.com.au/,https://mediabiasfactcheck.com/the-advertiser/,The Advertiser,Right,Mixed,adelaidenow.com.au
http://www.nationalenquirer.com/,https://mediabiasfactcheck.com/national-enquirer/,National Enquirer,Fake,Fake,nationalenquirer.com
https://www.gop.com/,https://mediabiasfactcheck.com/gop-com/,GOP.com,Right,Mixed,gop.com
https://www.corbettreport.com/,https://mediabiasfactcheck.com/the-corbett-report/,The Corbett Report,Conspiracy,Low,corbettreport.com
http://www.vdare.com/,https://mediabiasfactcheck.com/vdare/,VDARE,Fake,Fake,vdare.com
http://www.rightwingwatch.org/,https://mediabiasfactcheck.com/right-wing-watch/,Right Wing Watch,Left,Mixed,rightwingwatch.org
https://www.lifesitenews.com/,https://mediabiasfactcheck.com/life-site-news/,Life Site News,Right,Mixed,lifesitenews.com
http://www.greenpeace.org/usa/,https://mediabiasfactcheck.com/greenpeace/,Greenpeace,Conspiracy,Mixed,greenpeace.org
http://www.truthrevolt.org/,https://mediabiasfactcheck.com/truth-revolt/,Truth Revolt,Fake,Fake,truthrevolt.org
https://www.opednews.com/,https://mediabiasfactcheck.com/opednews-oen/,OpEdNews (OEN),Left,Mixed,opednews.com
http://www.veteranstoday.com/,https://mediabiasfactcheck.com/veterans-today/,Veterans Today,Conspiracy,Mixed,veteranstoday.com
https://www.gotquestions.org/,https://mediabiasfactcheck.com/got-questions-gotquestions-org/,Got Questions (gotquestions.org),Conspiracy,Low,gotquestions.org
http://www.ageofautism.com/,https://mediabiasfactcheck.com/age-of-autism/,Age of Autism,Conspiracy,Low,ageofautism.com
http://www.aim.org/,https://mediabiasfactcheck.com/accuracy-in-media-aim/,Accuracy in Media (AIM),Right,Mixed,aim.org
http://www.oann.com/,https://mediabiasfactcheck.com/one-america-news-network/,One America News Network,Right,Mixed,oann.com
http://www.renewamerica.com,https://mediabiasfactcheck.com/renew-america/,Renew America,Fake,Fake,renewamerica.com
http://www.jewishworldreview.com/,https://mediabiasfactcheck.com/jewish-world-review/,Jewish World Review,Right,Mixed,jewishworldreview.com
http://www.judicialwatch.org/,https://mediabiasfactcheck.com/judicial-watch/,Judicial Watch,Right,Mixed,judicialwatch.org
http://www.shtfplan.com/,https://mediabiasfactcheck.com/shtfplan-com/,SHTFplan.com,Fake,Fake,shtfplan.com
http://www.frc.org/,https://mediabiasfactcheck.com/family-research-council/,Family Research Council,Fake,Fake,frc.org
https://www.newsbud.com/,https://mediabiasfactcheck.com/newsbud/,Newsbud,Conspiracy,Mixed,newsbud.com
http://www.informationliberation.com/,https://mediabiasfactcheck.com/information-liberation/,Information Liberation,Fake,Fake,informationliberation.com
http://www.unz.com/,https://mediabiasfactcheck.com/the-unz-report/,The Unz Review,Fake,Fake,unz.com
http://www.thecollegefix.com/,https://mediabiasfactcheck.com/the-college-fix/,The College Fix,Right,Mixed,thecollegefix.com
http://www.discoverthenetworks.org/,https://mediabiasfactcheck.com/discover-the-networks/,Discover the Networks,Fake,Fake,discoverthenetworks.org
http://www.rense.com/,https://mediabiasfactcheck.com/rense/,Rense,Conspiracy,Low,rense.com
https://www.gatestoneinstitute.org/,https://mediabiasfactcheck.com/gatestone-institute/,Gatestone Institute,Right,Mixed,gatestoneinstitute.org
http://www.horowitzfreedomcenter.org/,https://mediabiasfactcheck.com/david-horowitz-freedom-center/,David Horowitz Freedom Center,Fake,Fake,horowitzfreedomcenter.org
http://www.coasttocoastam.com/,https://mediabiasfactcheck.com/coast-to-coast-am/,Coast to Coast AM,Conspiracy,Low,coasttocoastam.com
http://www.progressivestoday.com/,https://mediabiasfactcheck.com/progressives-today/,Progressives Today,Fake,Fake,progressivestoday.com
http://www.returnofkings.com/,https://mediabiasfactcheck.com/return-of-kings/,Return of Kings,Fake,Fake,returnofkings.com
https://www.campusreform.org,https://mediabiasfactcheck.com/campus-reform/,Campus Reform,Right,Mixed,campusreform.org
http://www.peta.org/,https://mediabiasfactcheck.com/peta-people-for-the-ethical-treatment-of-animals/,PETA (People for the Ethical Treatment of Animals),Conspiracy,Mixed,peta.org
http://www.wakingtimes.com/,https://mediabiasfactcheck.com/the-waking-times/,Waking Times,Conspiracy,Low,wakingtimes.com
http://www.drudge.com/,https://mediabiasfactcheck.com/drudge-retort/,Drudge Retort,Left,Mixed,drudge.com
http://www.workers.org/,https://mediabiasfactcheck.com/workers-world/,Workers World,Left,Mixed,workers.org
http://www.loonwatch.com/,https://mediabiasfactcheck.com/loonwatch/,LoonWatch,Fake,Fake,loonwatch.com
http://www.blacklistednews.com/,https://mediabiasfactcheck.com/blacklisted-news/,Blacklisted News,Conspiracy,Mixed,blacklistednews.com
http://www.amren.com/,https://mediabiasfactcheck.com/american-renaissance-magazine/,American Renaissance Magazine,Fake,Fake,amren.com
http://www.goodgopher.com/,https://mediabiasfactcheck.com/goodgopher/,GoodGopher,Fake,Fake,goodgopher.com
http://www.bizpacreview.com/,https://mediabiasfactcheck.com/bizpac-review/,Bizpac Review,Right,Mixed,bizpacreview.com
http://www.hoover.org/,https://mediabiasfactcheck.com/hoover-institution/,Hoover Institution,Right-Center,Mixed,hoover.org
https://www.sott.net/,https://mediabiasfactcheck.com/signs-of-the-times-sott/,Signs of the Times (SOTT),Conspiracy,Mixed,sott.net
https://www.adflegal.org/,https://mediabiasfactcheck.com/alliance-defending-freedom/,Alliance Defending Freedom,Fake,Fake,adflegal.org
http://www.focusonthefamily.com/,https://mediabiasfactcheck.com/focus-on-the-family/,Focus on the Family,Fake,Fake,focusonthefamily.com
http://www.barenakedislam.com/,https://mediabiasfactcheck.com/bare-naked-islam/,Bare Naked Islam,Fake,Fake,barenakedislam.com
https://www.numbersusa.com/,https://mediabiasfactcheck.com/numbers-usa/,Numbers USA,Right,Mixed,numbersusa.com
http://www.legitgov.org/,https://mediabiasfactcheck.com/citizens-for-legitimate-government-clg-news/,Citizens for Legitimate Government (CLG News),Left-Center,Mixed,legitgov.org
http://www.thenewamerican.com/,https://mediabiasfactcheck.com/the-new-american/,The New American,Right,Mixed,thenewamerican.com
https://www.heartland.org/,https://mediabiasfactcheck.com/heartland-institute/,Heartland Institute,Right,Mixed,heartland.org
http://www.ancient-origins.net/,https://mediabiasfactcheck.com/ancient-origins/,Ancient Origins,Conspiracy,Mixed,ancient-origins.net
http://www.thedailysheeple.com/,https://mediabiasfactcheck.com/the-daily-sheeple/,The Daily Sheeple,Conspiracy,Low,thedailysheeple.com
http://www.icr.org/,http://www.icr.org/,Institute for Creation Research (ICR),Conspiracy,Low,icr.org
https://www.wikileaks.org/,https://mediabiasfactcheck.com/wikileaks/,WikiLeaks,Right-Center,Mixed,wikileaks.org
http://www.citypaper.com/,https://mediabiasfactcheck.com/baltimore-city-paper/,Baltimore City Paper,Left,Mixed,citypaper.com
http://www.discovery.org/,https://mediabiasfactcheck.com/discovery-institute/,Discovery Institute,Conspiracy,Low,discovery.org
http://www.familysecuritymatters.org/,https://mediabiasfactcheck.com/family-security-matters/,Family Security Matters,Right,Mixed,familysecuritymatters.org
http://www.globemagazine.com/,https://mediabiasfactcheck.com/globe-magazine/,Globe Magazine,Fake,Fake,globemagazine.com
http://www.thedailybell.com/,https://mediabiasfactcheck.com/the-daily-bell/,The Daily Bell,Fake,Fake,thedailybell.com
http://www.conservativehq.com/,https://mediabiasfactcheck.com/conservative-hq/,Conservative HQ,Right,Mixed,conservativehq.com
http://deepstatenation.com,https://mediabiasfactcheck.com/deepstatenation-com/,DeepStateNation.com,Left,Mixed,deepstatenation.com
http://www.mercola.com/,https://mediabiasfactcheck.com/mercola/,Mercola,Conspiracy,Low,mercola.com
http://www.collective-evolution.com/,https://mediabiasfactcheck.com/collective-evolution/,Collective-Evolution,Conspiracy,Low,collective-evolution.com
http://www.g-a-i.org/,https://mediabiasfactcheck.com/government-accountability-institute/,Government Accountability Institute,Right,Mixed,g-a-i.org
https://www.davidicke.com/,https://mediabiasfactcheck.com/david-icke/,David Icke,Conspiracy,Low,davidicke.com
http://www.christianscience.com/,https://mediabiasfactcheck.com/christian-science/,Christian Science,Conspiracy,Low,christianscience.com
http://www.liberalamerica.org/,https://mediabiasfactcheck.com/liberal-america/,Liberal America,Left,Mixed,liberalamerica.org
http://naturalsociety.com,https://mediabiasfactcheck.com/natural-society/,Natural Society,Conspiracy,Mixed,naturalsociety.com
http://www.evolutionnews.org/,https://mediabiasfactcheck.com/evolution-news-and-views/,Evolution News and Views,Conspiracy,Low,evolutionnews.org
http://www.internationalviewpoint.org/,https://mediabiasfactcheck.com/international-viewpoint/,International Viewpoint,Left,Mixed,internationalviewpoint.org
http://www.thecommonsenseshow.com/,https://mediabiasfactcheck.com/the-common-sense-show/,The Common Sense Show,Conspiracy,Low,thecommonsenseshow.com
http://www.dailywire.com/,https://mediabiasfactcheck.com/the-daily-wire/,The Daily Wire,Right,Mixed,dailywire.com
https://www.chroniclesmagazine.org/,https://mediabiasfactcheck.com/chronicles-magazine-rockford/,Chronicles Magazine (Rockford),Right,Mixed,chroniclesmagazine.org
http://www.crisismagazine.com/,https://mediabiasfactcheck.com/crisis-magazine/,Crisis Magazine,Right,Mixed,crisismagazine.com
https://www.middleeastmonitor.com/,https://mediabiasfactcheck.com/middle-east-monitor/,Middle East Monitor,Left,Mixed,middleeastmonitor.com
http://www.thetruthseeker.co.uk/,https://mediabiasfactcheck.com/the-truth-seeker/,The Truth Seeker,Conspiracy,Low,thetruthseeker.co.uk
http://www.hangthebankers.com/,https://mediabiasfactcheck.com/hang-the-bankers/,Hang the Bankers,Fake,Fake,hangthebankers.com
http://www.pacificpundit.com/,https://mediabiasfactcheck.com/pacific-pundit/,Pacific Pundit,Fake,Fake,pacificpundit.com
http://www.afa.net/,https://mediabiasfactcheck.com/american-family-association/,American Family Association,Fake,Fake,afa.net
http://www.abovetopsecret.com/,https://mediabiasfactcheck.com/above-top-secret/,Above Top Secret,Conspiracy,Low,abovetopsecret.com
http://www.infiniteunknown.net/,https://mediabiasfactcheck.com/infinite-unknown/,Infinite Unknown,Conspiracy,Low,infiniteunknown.net
http://www.charismanews.com/,https://mediabiasfactcheck.com/charisma-news/,Charisma News,Conspiracy,Low,charismanews.com
https://www.ac2news.com,https://mediabiasfactcheck.com/against-crony-capitialism/,Against Crony Capitialism,Right,Mixed,ac2news.com
https://southfront.org/,https://mediabiasfactcheck.com/south-front/,South Front,Conspiracy,Mixed,southfront.org
http://www.dcclothesline.com/,https://mediabiasfactcheck.com/the-d-c-clothesline/,The D.C. Clothesline,Fake,Fake,dcclothesline.com
http://breaking911.com,https://mediabiasfactcheck.com/breaking911/,Breaking911,Fake,Fake,breaking911.com
http://www.centerforsecuritypolicy.org/,https://mediabiasfactcheck.com/center-for-security-policy/,Center for Security Policy,Conspiracy,Mixed,centerforsecuritypolicy.org
http://www.onenewsnow.com/,https://mediabiasfactcheck.com/onenewsnow/,OneNewsNow,Right,Mixed,onenewsnow.com
http://www.newstarget.com/,https://mediabiasfactcheck.com/news-target/,News Target,Conspiracy,Mixed,newstarget.com
https://quadrant.org.au,https://mediabiasfactcheck.com/quadrant-magazine/,Quadrant Magazine,Right,Mixed,quadrant.org.au
http://www.westernfreepress.com/,https://mediabiasfactcheck.com/western-free-press/,Western Free Press,Right,Mixed,westernfreepress.com
http://readersupportednews.org,https://mediabiasfactcheck.com/reader-supported-news-rsn/,Reader Supported News (RSN),Left,Mixed,readersupportednews.org
http://www.trueactivist.com/,https://mediabiasfactcheck.com/true-activist/,True Activist,Fake,Fake,trueactivist.com
https://www.alec.org,https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/,American Legislative Exchange Council (ALEC),Right,Mixed,alec.org
http://www.trunews.com/,https://mediabiasfactcheck.com/trunews/,TruNews,Conspiracy,Low,trunews.com
https://dailystormer.name/,https://mediabiasfactcheck.com/daily-stormer/,Daily Stormer,Fake,Fake,dailystormer.name
http://rinf.com,https://mediabiasfactcheck.com/rinf/,RINF,Fake,Fake,rinf.com
http://aattp.org/,https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,Americans Against the Tea Party (AATTP),Fake,Fake,aattp.org
http://www.godlikeproductions.com/,https://mediabiasfactcheck.com/godlike-productions/,Godlike Productions,Conspiracy,Low,godlikeproductions.com
https://www.dangerandplay.com/,https://mediabiasfactcheck.com/danger-and-play/,Danger and Play,Fake,Fake,dangerandplay.com
http://www.jookos.com/,https://mediabiasfactcheck.com/jookos-news/,Jookos News,Fake,Fake,jookos.com
https://www.thepublicdiscourse.com/,https://mediabiasfactcheck.com/witherspoon-institute/,Witherspoon Institute,Fake,Fake,thepublicdiscourse.com
https://www.getreligion.org/,https://mediabiasfactcheck.com/get-religion/,Get Religion,Right,Mixed,getreligion.org
http://www.ecowatch.com/,https://mediabiasfactcheck.com/ecowatch/,Ecowatch,Conspiracy,Mixed,ecowatch.com
http://www.debunkingskeptics.com/,https://mediabiasfactcheck.com/scepcop-debunking-skeptics/,SCEPCOP (Debunking Skeptics),Conspiracy,Low,debunkingskeptics.com
http://anotherdayintheempire.com/,https://mediabiasfactcheck.com/another-day-in-the-empire/,Another Day in the Empire,Conspiracy,Mixed,anotherdayintheempire.com
http://watchdog.org/,https://mediabiasfactcheck.com/watchdog-org/,Watchdog.org,Right-Center,Mixed,watchdog.org
http://www.theeventchronicle.com/,https://mediabiasfactcheck.com/the-event-chronicle/,The Event Chronicle,Conspiracy,Low,theeventchronicle.com
http://www.nationofchange.org/,https://mediabiasfactcheck.com/nation-of-change/,Nation of Change,Left,Mixed,nationofchange.org
http://www.gopusa.com/,https://mediabiasfactcheck.com/gopusa/,GOPUSA,Right,Mixed,gopusa.com
http://www.thepostemail.com/,https://mediabiasfactcheck.com/the-post-email/,The Post and Email,Right,Mixed,thepostemail.com
https://www.avoiceformen.com/,https://mediabiasfactcheck.com/a-voice-for-men/,A Voice for Men,Fake,Fake,avoiceformen.com
http://www.thenationalpatriot.com/,https://mediabiasfactcheck.com/the-national-patriot/,The National Patriot,Fake,Fake,thenationalpatriot.com
https://www.oathkeepers.org,https://mediabiasfactcheck.com/oath-keepers/,Oath Keepers,Fake,Fake,oathkeepers.org
http://www.rappler.com/,https://mediabiasfactcheck.com/rappler/,Rappler,Left,Mixed,rappler.com
http://www.jesus-is-savior.com/,https://mediabiasfactcheck.com/jesus-is-savior/,Jesus is Savior,Conspiracy,Low,jesus-is-savior.com
https://www.stormfront.org/forum/blogs/recent-entries/,https://mediabiasfactcheck.com/stormfront/,Stormfront,Conspiracy,Low,stormfront.org
http://www.viralthread.com/,https://mediabiasfactcheck.com/viral-thread/,Viral Thread,Least,Mixed,viralthread.com
https://www.teaparty.org/,https://mediabiasfactcheck.com/tea-party-inc/,Tea Party Inc,Fake,Fake,teaparty.org
http://washingtonfeed.com/,https://mediabiasfactcheck.com/the-washington-feed/,The Washington Feed,Fake,Fake,washingtonfeed.com
https://creation.com,https://mediabiasfactcheck.com/christian-ministries-international/,Christian Ministries International,Conspiracy,Low,creation.com
http://www.democratichub.com/,https://mediabiasfactcheck.com/the-democratic-hub/,The Democratic Hub,Left,Mixed,democratichub.com
http://www.nowtheendbegins.com/,https://mediabiasfactcheck.com/now-the-end-begins/,Now the End Begins,Conspiracy,Low,nowtheendbegins.com
http://www.ifyouonlynews.com/,https://mediabiasfactcheck.com/if-you-only-news/,If You Only News,Fake,Fake,ifyouonlynews.com
http://www.realjewnews.com/,https://mediabiasfactcheck.com/real-jew-news/,Real Jew News,Conspiracy,Low,realjewnews.com
http://www.nationalcenter.org/,https://mediabiasfactcheck.com/national-center-public-policy-research-ncppr/,National Center for Public Policy Research (NCPPR),Right,Mixed,nationalcenter.org
http://www.libertyheadlines.com/,https://mediabiasfactcheck.com/liberty-headlines/,Liberty Headlines,Right,Mixed,libertyheadlines.com
http://www.bipartisanreport.com/,https://mediabiasfactcheck.com/bipartisan-report/,Bipartisan Report,Fake,Fake,bipartisanreport.com
https://www.savethemales.ca/,https://mediabiasfactcheck.com/henry-makow-savethemales-ca/,Henry Makow (savethemales.ca),Conspiracy,Low,savethemales.ca
http://www.fairus.org/,https://mediabiasfactcheck.com/the-federation-for-american-immigration-reform-fair/,The Federation for American Immigration Reform (FAIR),Fake,Fake,fairus.org
https://www.davidwolfe.com/,https://mediabiasfactcheck.com/david-wolfe/,David Wolfe,Conspiracy,Mixed,davidwolfe.com
http://newobserveronline.com/,https://mediabiasfactcheck.com/the-new-observer/,The New Observer,Fake,Fake,newobserveronline.com
http://www.react365.com/,https://mediabiasfactcheck.com/react-365/,React 365,Fake,Fake,react365.com
http://www.ronpaullibertyreport.com/,https://mediabiasfactcheck.com/ron-paul-liberty-report/,Ron Paul Liberty Report,Right,Mixed,ronpaullibertyreport.com
http://addictinginfo.com,https://mediabiasfactcheck.com/addicting-info/,Addicting Info,Left,Mixed,addictinginfo.com
http://www.codepink.org/,https://mediabiasfactcheck.com/code-pink/,Code Pink,Left,Mixed,codepink.org
http://www.youngcons.com/,https://mediabiasfactcheck.com/young-conservatives/,Young Conservatives,Right,Mixed,youngcons.com
http://www.eutimes.net/,https://mediabiasfactcheck.com/the-european-union-times/,The European Union Times,Conspiracy,Mixed,eutimes.net
http://www.fromthetrenchesworldreport.com/,https://mediabiasfactcheck.com/from-the-trenches-world-report/,From the Trenches World Report,Conspiracy,Low,fromthetrenchesworldreport.com
http://truthfeednews.com,https://mediabiasfactcheck.com/truthfeed/,TruthFeed,Fake,Fake,truthfeednews.com
http://www.populartechnology.net/,https://mediabiasfactcheck.com/popular-technology/,Popular Technology,Conspiracy,Mixed,populartechnology.net
http://endingthefed.com/,https://mediabiasfactcheck.com/ending-the-fed-news/,Ending the Fed News,Fake,Fake,endingthefed.com
https://www.unwatch.org,https://mediabiasfactcheck.com/un-watch/,UN Watch,Right,Mixed,unwatch.org
https://www.ukcolumn.org,https://mediabiasfactcheck.com/uk-column/,UK Column,Conspiracy,Mixed,ukcolumn.org
http://www.disclose.tv/,https://mediabiasfactcheck.com/disclose-tv/,Disclose TV,Conspiracy,Low,disclose.tv
http://www.palmerreport.com/,https://mediabiasfactcheck.com/palmer-report/,Palmer Report,Left,Mixed,palmerreport.com
http://www.newswithviews.com/,https://mediabiasfactcheck.com/news-with-views/,News With Views,Fake,Fake,newswithviews.com
http://www.lbc.co.uk,https://mediabiasfactcheck.com/london-broadcasting-company-lbc/,London Broadcasting Company (LBC),Right-Center,Mixed,lbc.co.uk
http://www.staresattheworld.com/,https://mediabiasfactcheck.com/stares-at-the-world/,Stares at the World,Fake,Fake,staresattheworld.com
http://www.australiannationalreview.com/,https://mediabiasfactcheck.com/australian-national-review/,Australian National Review,Conspiracy,Low,australiannationalreview.com
http://www.lifezette.com/,https://mediabiasfactcheck.com/lifezette/,LifeZette,Right,Mixed,lifezette.com
http://www.intrepidreport.com/,https://mediabiasfactcheck.com/intrepid-report/,Intrepid Report,Left,Mixed,intrepidreport.com
http://www.healthnutnews.com/,https://mediabiasfactcheck.com/health-nut-news/,Health Nut News,Conspiracy,Low,healthnutnews.com
http://www.geoengineeringwatch.org/,https://mediabiasfactcheck.com/geoengineering-watch/,GeoEngineering Watch,Conspiracy,Low,geoengineeringwatch.org
